Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200303,S12000011,East Renfrewshire,0,0,0,0,0,0,16,16.7486653407307,2,0,0,2,0
20200303,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,2,7.48502994011976,1,0,0,1,0
20200303,S12000014,Falkirk,0,0,0,0,0,0,49,30.4555907763068,30,0,0,30,0
20200303,S12000017,Highland,0,0,0,0,0,0,39,16.5373362167663,5,0,0,5,0
20200303,S12000018,Inverclyde,0,0,0,0,0,0,19,24.4215938303342,3,0,0,3,0
20200303,S12000019,Midlothian,0,0,0,0,0,0,32,34.6095608911962,12,0,0,12,0
20200303,S12000020,Moray,0,1,1.0436234606554,0,0,0,15,15.6543519098309,2,0,0,2,0
20200303,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,26,19.296422740092,6,0,0,6,0
20200303,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163,1,0,0,1,0
20200303,S12000026,Scottish Borders,0,0,0,0,0,0,35,30.3004068911783,2,0,0,2,0
20200303,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200303,S12000028,South Ayrshire,0,0,0,0,0,0,15,13.3203090311695,7,0,0,7,0
20200303,S12000029,South Lanarkshire,0,0,0,0,0,0,68,21.2148628833495,21,0,0,21,0
20200303,S12000030,Stirling,0,0,0,0,0,0,33,35.0281286487634,1,0,0,1,0
20200303,S12000033,Aberdeen City,0,0,0,0,0,0,54,23.6148161105523,8,0,0,8,0
20200303,S12000034,Aberdeenshire,1,1,0.382833735308755,0,0,0,51,19.5245205007465,11,1,9.09090909090909,11,0
20200303,S12000035,Argyll & Bute,0,0,0,0,0,0,10,11.6455106556422,6,0,0,6,0
20200303,S12000036,City of Edinburgh,0,0,0,0,0,0,190,36.1953022307736,22,0,0,22,0
20200303,S12000038,Renfrewshire,0,0,0,0,0,0,36,20.1005025125628,3,0,0,3,0
20200303,S12000039,West Dunbartonshire,1,1,1.12447992803328,0,0,0,20,22.4895985606657,12,2,16.6666666666667,12,0
20200303,S12000040,West Lothian,0,0,0,0,0,0,46,25.1228836701256,10,0,0,10,0
20200303,S12000041,Angus,0,1,0.860585197934596,0,0,0,32,27.5387263339071,9,2,22.2222222222222,9,0
20200303,S12000042,Dundee City,0,0,0,0,0,0,31,20.7607822126976,13,0,0,13,0
20200303,S12000045,East Dunbartonshire,0,0,0,0,0,0,24,22.0913107511046,4,0,0,4,0
20200303,S12000047,Fife,0,0,0,0,0,0,95,25.4316691205997,14,0,0,14,0
20200303,S12000048,Perth & Kinross,0,0,0,0,0,0,44,28.9568937150378,13,0,0,13,0
20200303,S12000049,Glasgow City,0,0,0,0,0,0,172,27.1670457417235,46,0,0,46,0
20200303,S12000050,North Lanarkshire,0,0,0,0,0,0,62,18.1621114919296,13,0,0,13,0
20200304,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,23,44.6255335661622,13,2,15.3846153846154,13,0
20200304,S12000006,Dumfries & Galloway,0,0,0,0,0,0,64,42.9934166330781,11,0,0,11,0
20200304,S12000008,East Ayrshire,0,0,0,0,0,0,20,16.392099008278,1,0,0,1,0
20200304,S12000010,East Lothian,0,0,0,0,0,0,29,27.0800261462321,5,0,0,5,0
20200304,S12000011,East Renfrewshire,0,0,0,0,0,0,22,23.0294148435047,8,0,0,8,0
20200304,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,3,11.2275449101796,1,0,0,1,0
20200304,S12000014,Falkirk,1,1,0.62154266890422,0,0,0,59,36.671017465349,21,3,14.285714285714299,21,0
20200304,S12000017,Highland,0,0,0,0,0,0,46,19.5055760505449,9,0,0,9,0
20200304,S12000018,Inverclyde,0,0,0,0,0,0,20,25.706940874036,1,0,0,1,0
20200304,S12000019,Midlothian,0,0,0,0,0,0,34,36.772658446896,2,0,0,2,0
20200304,S12000020,Moray,1,2,2.08724692131079,0,0,0,17,17.7415988311417,2,1,50,2,0
20200304,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,33,24.4916134778091,12,1,8.33333333333333,12,0
20200304,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163,0,0,0,0,0
20200304,S12000026,Scottish Borders,0,0,0,0,0,0,38,32.8975846247078,3,0,0,3,0
20200304,S12000027,Shetland Islands,0,0,0,0,0,0,1,4.3630017452007,1,0,0,1,0
20200304,S12000028,South Ayrshire,0,0,0,0,0,0,16,14.2083296332475,1,0,0,1,0
20200304,S12000029,South Lanarkshire,0,0,0,0,0,0,79,24.6466789380089,12,0,0,12,0
20200304,S12000030,Stirling,0,0,0,0,0,0,39,41.3968793121749,10,0,0,10,0
20200304,S12000033,Aberdeen City,1,1,0.437311409454673,0,0,0,57,24.9267503389163,5,1,20,5,0
20200304,S12000034,Aberdeenshire,0,1,0.382833735308755,0,0,0,53,20.290187971364,3,0,0,3,0
20200304,S12000035,Argyll & Bute,0,0,0,0,0,0,11,12.8100617212065,1,0,0,1,0
20200304,S12000036,City of Edinburgh,1,1,0.190501590688282,0,0,0,211,40.1958356352276,25,1,4,25,0
20200304,S12000038,Renfrewshire,0,0,0,0,0,0,45,25.1256281407035,10,0,0,10,0
20200304,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,28,31.485437984932,11,0,0,11,0
20200304,S12000040,West Lothian,0,0,0,0,0,0,48,26.2151829601311,2,0,0,2,0
20200304,S12000041,Angus,0,1,0.860585197934596,0,0,0,35,30.1204819277108,3,0,0,3,0
20200304,S12000042,Dundee City,0,0,0,0,0,0,34,22.7698901687651,6,0,0,6,0
20200304,S12000045,East Dunbartonshire,0,0,0,0,0,0,29,26.6936671575847,8,0,0,8,0
20200304,S12000047,Fife,2,2,0.535403560433677,0,0,0,96,25.6993709008165,3,2,66.6666666666667,3,0
20200304,S12000048,Perth & Kinross,0,0,0,0,0,0,48,31.5893385982231,11,0,0,11,0
20200304,S12000049,Glasgow City,0,0,0,0,0,0,215,33.9588071771544,53,0,0,53,0
20200304,S12000050,North Lanarkshire,0,0,0,0,0,0,72,21.0914843132085,13,0,0,13,0
20200305,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,27,52.3864959254948,6,0,0,6,0
20200305,S12000006,Dumfries & Galloway,0,0,0,0,0,0,70,47.0240494424291,6,0,0,6,0
20200305,S12000008,East Ayrshire,0,0,0,0,0,0,27,22.1293336611753,7,0,0,7,0
